%
Observatory Name: VENUS
Region: Saanich Inlet
Node Location: Central Node
Study Area: VIP
Site: VIP-16 from: 2012-Feb-26 to: 2012-Aug-12 Latitude(decdeg N): 48.6514 Longitude(decdeg W): 123.4791 Depth(m): 96
Site: VIP-17 from: 2012-Aug-12 to: 2012-Sep-22 Latitude(decdeg N): 48.6513 Longitude(decdeg W): 123.4864 Depth(m): 96
Water Property: Temperature Units: C
Device: SeaBird CTD 16 plus 6536 from: 2011-Oct-02 to: 2012-Sep-22
Sample Period: 60s from:2011-10-04 to: 2012-09-22
This data set was concatenated from multiple devices and sites in the VIP study area.
This data has been averaged into 10 minute intervals.
Time given is the middle of the averaging bin. The mean of the time bin is also given.
Time Format: number of decimal days from the start of the current year (Start Time)
Data Gaps are represented by NaN's (Not a Number). See metadata for more information.
QC Flag: 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information.
Start Time: 2012-01-01 00:00:00
Time Zone: UTC
%
Time (UTC) , Temperature (C) , Temperature QC Flag , Temperature Number Data Averaged , Temperature Standard Deviation , Temperature Bin Time Mean
202.899306 ,   8.666011 , 7 , 9 ,   0.001379 , 202.899639
202.906250 ,   8.661170 , 7 , 10 ,   0.002550 , 202.906236
202.913194 ,   8.655040 , 7 , 10 ,   0.002240 , 202.913181
202.920139 ,   8.657390 , 7 , 10 ,   0.000647 , 202.920125
202.927083 ,   8.660070 , 7 , 10 ,   0.002532 , 202.927070
202.934028 ,   8.666420 , 7 , 10 ,   0.001104 , 202.934014
202.940972 ,   8.666020 , 7 , 10 ,   0.000783 , 202.940958
202.947917 ,   8.666510 , 7 , 10 ,   0.001104 , 202.947903
202.954861 ,   8.662570 , 7 , 10 ,   0.003129 , 202.954847
202.961806 ,   8.667620 , 7 , 10 ,   0.002258 , 202.961792
202.968750 ,   8.655470 , 7 , 10 ,   0.003829 , 202.968736
202.975694 ,   8.654450 , 7 , 10 ,   0.006644 , 202.975681
202.982639 ,   8.652510 , 7 , 10 ,   0.003604 , 202.982625
202.989583 ,   8.660960 , 7 , 10 ,   0.000821 , 202.989570
202.996528 ,   8.653420 , 7 , 10 ,   0.005423 , 202.996514
203.003472 ,   8.646110 , 7 , 10 ,   0.002388 , 203.003458
203.010417 ,   8.663340 , 7 , 10 ,   0.010418 , 203.010403
203.017361 ,   8.671800 , 7 , 10 ,   0.005506 , 203.017347
203.024306 ,   8.694930 , 7 , 10 ,   0.008407 , 203.024292
203.031250 ,   8.675590 , 7 , 10 ,   0.008678 , 203.031236
203.038194 ,   8.668940 , 7 , 10 ,   0.006227 , 203.038181
203.045139 ,   8.665020 , 7 , 10 ,   0.001155 , 203.045125
203.052083 ,   8.662520 , 7 , 10 ,   0.004033 , 203.052070
203.059028 ,   8.650480 , 7 , 10 ,   0.003241 , 203.059014
203.065972 ,   8.654670 , 7 , 10 ,   0.006409 , 203.065958
203.072917 ,   8.651780 , 7 , 10 ,   0.001714 , 203.072903
203.079861 ,   8.653520 , 7 , 10 ,   0.003748 , 203.079847
203.086806 ,   8.657270 , 7 , 10 ,   0.001766 , 203.086792
203.093750 ,   8.666250 , 7 , 10 ,   0.018553 , 203.093736
203.100694 ,   8.676640 , 7 , 10 ,   0.019588 , 203.100681
203.107639 ,   8.670490 , 7 , 10 ,   0.003875 , 203.107625
203.114583 ,   8.664040 , 7 , 10 ,   0.001564 , 203.114570
203.121528 ,   8.679490 , 7 , 10 ,   0.012945 , 203.121514
203.128472 ,   8.677130 , 7 , 10 ,   0.023753 , 203.128458
203.135417 ,   8.651810 , 7 , 10 ,   0.011603 , 203.135403
203.142361 ,   8.637090 , 7 , 10 ,   0.003163 , 203.142347
203.149306 ,   8.637180 , 7 , 10 ,   0.002952 , 203.149292
203.156250 ,   8.639110 , 7 , 10 ,   0.001470 , 203.156236
203.163194 ,   8.641300 , 7 , 10 ,   0.001799 , 203.163181
203.170139 ,   8.624980 , 7 , 10 ,   0.003059 , 203.170125
203.177083 ,   8.622600 , 7 , 10 ,   0.005030 , 203.177070
203.184028 ,   8.634430 , 7 , 10 ,   0.006199 , 203.184014
203.190972 ,   8.641260 , 7 , 10 ,   0.001120 , 203.190958
203.197917 ,   8.649400 , 7 , 10 ,   0.005978 , 203.197903
203.204861 ,   8.657660 , 7 , 10 ,   0.002801 , 203.204847
203.211806 ,   8.655030 , 7 , 10 ,   0.001576 , 203.211792
203.218750 ,   8.657240 , 7 , 10 ,   0.000885 , 203.218736
203.225694 ,   8.663090 , 7 , 10 ,   0.008496 , 203.225681
203.232639 ,   8.684310 , 7 , 10 ,   0.006554 , 203.232625
203.239583 ,   8.696370 , 7 , 10 ,   0.002127 , 203.239570
203.246528 ,   8.687140 , 7 , 10 ,   0.003113 , 203.246514
203.253472 ,   8.682480 , 7 , 10 ,   0.002016 , 203.253458
203.260417 ,   8.679500 , 7 , 10 ,   0.001525 , 203.260403
203.267361 ,   8.684120 , 7 , 10 ,   0.002481 , 203.267347
203.274306 ,   8.693330 , 7 , 10 ,   0.003425 , 203.274292
203.281250 ,   8.699110 , 7 , 10 ,   0.001312 , 203.281236
203.288194 ,   8.698730 , 7 , 10 ,   0.001744 , 203.288181
203.295139 ,   8.695690 , 7 , 10 ,   0.001624 , 203.295125
203.302083 ,   8.699060 , 7 , 10 ,   0.004495 , 203.302070
203.309028 ,   8.711520 , 7 , 10 ,   0.001628 , 203.309014
203.315972 ,   8.713440 , 7 , 10 ,   0.002046 , 203.315958
203.322917 ,   8.706530 , 7 , 10 ,   0.008228 , 203.322903
203.329861 ,   8.686470 , 7 , 10 ,   0.004260 , 203.329847
203.336806 ,   8.675990 , 7 , 10 ,   0.004028 , 203.336792
203.343750 ,   8.691900 , 7 , 10 ,   0.006644 , 203.343736
203.350694 ,   8.687140 , 7 , 10 ,   0.002540 , 203.350681
203.357639 ,   8.691710 , 7 , 10 ,   0.002621 , 203.357625
203.364583 ,   8.692510 , 7 , 10 ,   0.004539 , 203.364570
203.371528 ,   8.688230 , 7 , 10 ,   0.003091 , 203.371514
203.378472 ,   8.678830 , 7 , 10 ,   0.002146 , 203.378458
203.385417 ,   8.677600 , 7 , 10 ,   0.001114 , 203.385403
203.392361 ,   8.673760 , 7 , 10 ,   0.002604 , 203.392347
203.399306 ,   8.674600 , 7 , 10 ,   0.005348 , 203.399292
203.406250 ,   8.665700 , 7 , 10 ,   0.003585 , 203.406236
203.413194 ,   8.668160 , 7 , 10 ,   0.006281 , 203.413181
203.420139 ,   8.675430 , 7 , 10 ,   0.000812 , 203.420125
203.427083 ,   8.677970 , 7 , 10 ,   0.001767 , 203.427070
203.434028 ,   8.677060 , 7 , 10 ,   0.002635 , 203.434014
203.440972 ,   8.672250 , 7 , 10 ,   0.001871 , 203.440958
203.447917 ,   8.676040 , 7 , 10 ,   0.005182 , 203.447903
203.454861 ,   8.677970 , 7 , 10 ,   0.003309 , 203.454847
203.461806 ,   8.679960 , 7 , 10 ,   0.004882 , 203.461792
203.468750 ,   8.685980 , 7 , 10 ,   0.001393 , 203.468736
203.475694 ,   8.681140 , 7 , 10 ,   0.001384 , 203.475681
203.482639 ,   8.678300 , 7 , 10 ,   0.004215 , 203.482625
203.489583 ,   8.673560 , 7 , 10 ,   0.002733 , 203.489570
203.496528 ,   8.662410 , 7 , 10 ,   0.005522 , 203.496514
203.503472 ,   8.665680 , 7 , 10 ,   0.006663 , 203.503458
203.510417 ,   8.674610 , 7 , 10 ,   0.008454 , 203.510403
203.517361 ,   8.668560 , 7 , 10 ,   0.001390 , 203.517347
203.524306 ,   8.672120 , 7 , 10 ,   0.001122 , 203.524292
203.531250 ,   8.674760 , 7 , 10 ,   0.001399 , 203.531236
203.538194 ,   8.673070 , 7 , 10 ,   0.003641 , 203.538181
203.545139 ,   8.681380 , 7 , 10 ,   0.007135 , 203.545125
203.552083 ,   8.696330 , 7 , 10 ,   0.003690 , 203.552070
203.559028 ,   8.690060 , 7 , 10 ,   0.010453 , 203.559014
203.565972 ,   8.690080 , 7 , 10 ,   0.006882 , 203.565958
203.572917 ,   8.700420 , 7 , 10 ,   0.003762 , 203.572903
203.579861 ,   8.695040 , 7 , 10 ,   0.014616 , 203.579847
203.586806 ,   8.665000 , 7 , 10 ,   0.001677 , 203.586792
203.593750 ,   8.669360 , 7 , 10 ,   0.002109 , 203.593736
203.600694 ,   8.672810 , 7 , 10 ,   0.001836 , 203.600681
203.607639 ,   8.672780 , 7 , 10 ,   0.001441 , 203.607625
203.614583 ,   8.668150 , 7 , 10 ,   0.003682 , 203.614570
203.621528 ,   8.670190 , 7 , 10 ,   0.004899 , 203.621514
203.628472 ,   8.667340 , 7 , 10 ,   0.012210 , 203.628458
203.635417 ,   8.682050 , 7 , 10 ,   0.012096 , 203.635403
203.642361 ,   8.685480 , 7 , 10 ,   0.003255 , 203.642347
203.649306 ,   8.690100 , 7 , 10 ,   0.002168 , 203.649292
203.656250 ,   8.683470 , 7 , 10 ,   0.005630 , 203.656236
203.663194 ,   8.683440 , 7 , 10 ,   0.005776 , 203.663181
203.670139 ,   8.673630 , 7 , 10 ,   0.004643 , 203.670125
203.677083 ,   8.676170 , 7 , 10 ,   0.009431 , 203.677070
203.684028 ,   8.683250 , 7 , 10 ,   0.002799 , 203.684014
203.690972 ,   8.692070 , 7 , 10 ,   0.006453 , 203.690958
203.697917 ,   8.679850 , 7 , 10 ,   0.005596 , 203.697903
203.704861 ,   8.668510 , 7 , 10 ,   0.004394 , 203.704847
203.711806 ,   8.659440 , 7 , 10 ,   0.002679 , 203.711792
203.718750 ,   8.665560 , 7 , 10 ,   0.002216 , 203.718736
203.725694 ,   8.664430 , 7 , 10 ,   0.001315 , 203.725681
203.732639 ,   8.662010 , 7 , 10 ,   0.001375 , 203.732625
203.739583 ,   8.648050 , 7 , 10 ,   0.006575 , 203.739570
203.746528 ,   8.633860 , 7 , 10 ,   0.002487 , 203.746514
203.753472 ,   8.625870 , 7 , 10 ,   0.005011 , 203.753458
203.760417 ,   8.636260 , 7 , 10 ,   0.002521 , 203.760403
203.767361 ,   8.645800 , 7 , 10 ,   0.002278 , 203.767347
203.774306 ,   8.673440 , 7 , 10 ,   0.019062 , 203.774292
203.781250 ,   8.695240 , 7 , 10 ,   0.002112 , 203.781236
203.788194 ,   8.701540 , 7 , 10 ,   0.000664 , 203.788181
203.795139 ,   8.704420 , 7 , 10 ,   0.001837 , 203.795125
203.802083 ,   8.712530 , 7 , 10 ,   0.003098 , 203.802070
203.809028 ,   8.724070 , 7 , 10 ,   0.003319 , 203.809014
203.815972 ,   8.728660 , 7 , 10 ,   0.000619 , 203.815958
203.822917 ,   8.728780 , 7 , 10 ,   0.000437 , 203.822903
203.829861 ,   8.728300 , 7 , 10 ,   0.000564 , 203.829847
203.836806 ,   8.704030 , 7 , 10 ,   0.018639 , 203.836792
203.843750 ,   8.725860 , 7 , 10 ,   0.002899 , 203.843736
203.850694 ,   8.726600 , 7 , 10 ,   0.000760 , 203.850681
203.857639 ,   8.727640 , 7 , 10 ,   0.000303 , 203.857625
203.864583 ,   8.721700 , 7 , 10 ,   0.003476 , 203.864570
203.871528 ,   8.715680 , 7 , 10 ,   0.001393 , 203.871514
203.878472 ,   8.713390 , 7 , 10 ,   0.001497 , 203.878458
203.885417 ,   8.709640 , 7 , 10 ,   0.000372 , 203.885403
203.892361 ,   8.699940 , 7 , 10 ,   0.008683 , 203.892347
203.899306 ,   8.678030 , 7 , 10 ,   0.006186 , 203.899292
203.906250 ,   8.667710 , 7 , 10 ,   0.001258 , 203.906236
203.913194 ,   8.675750 , 7 , 10 ,   0.006984 , 203.913181
203.920139 ,   8.689090 , 7 , 10 ,   0.001521 , 203.920125
203.927083 ,   8.686990 , 7 , 10 ,   0.005523 , 203.927070
203.934028 ,   8.678200 , 7 , 10 ,   0.003437 , 203.934014
203.940972 ,   8.675300 , 7 , 10 ,   0.001829 , 203.940958
203.947917 ,   8.678020 , 7 , 10 ,   0.002485 , 203.947903
203.954861 ,   8.695350 , 7 , 10 ,   0.014098 , 203.954847
203.961806 ,   8.727350 , 7 , 10 ,   0.004746 , 203.961792
203.968750 ,   8.731970 , 7 , 10 ,   0.000347 , 203.968736
203.975694 ,   8.730470 , 7 , 10 ,   0.000894 , 203.975681
203.982639 ,   8.728790 , 7 , 10 ,   0.001332 , 203.982625
203.989583 ,   8.724900 , 7 , 10 ,   0.001643 , 203.989570
203.996528 ,   8.720610 , 7 , 10 ,   0.001676 , 203.996514
204.003472 ,   8.715180 , 7 , 10 ,   0.002062 , 204.003458
204.010417 ,   8.708000 , 7 , 10 ,   0.003559 , 204.010403
204.017361 ,   8.713700 , 7 , 10 ,   0.009361 , 204.017348
204.024306 ,   8.706890 , 7 , 10 ,   0.011114 , 204.024292
204.031250 ,   8.706070 , 7 , 10 ,   0.004641 , 204.031236
204.038194 ,   8.695390 , 7 , 10 ,   0.003066 , 204.038181
204.045139 ,   8.688380 , 7 , 10 ,   0.005161 , 204.045125
204.052083 ,   8.677380 , 7 , 10 ,   0.003014 , 204.052070
204.059028 ,   8.678180 , 7 , 10 ,   0.001359 , 204.059014
204.065972 ,   8.687280 , 7 , 10 ,   0.003183 , 204.065958
204.072917 ,   8.697980 , 7 , 10 ,   0.011727 , 204.072903
204.079861 ,   8.684740 , 7 , 10 ,   0.001669 , 204.079847
204.086806 ,   8.680090 , 7 , 10 ,   0.005691 , 204.086792
204.093750 ,   8.671690 , 7 , 10 ,   0.004117 , 204.093736
204.100694 ,   8.669860 , 7 , 10 ,   0.000788 , 204.100681
204.107639 ,   8.671250 , 7 , 10 ,   0.002535 , 204.107625
204.114583 ,   8.677200 , 7 , 10 ,   0.008141 , 204.114570
204.121528 ,   8.693940 , 7 , 10 ,   0.007062 , 204.121514
204.128472 ,   8.684950 , 7 , 10 ,   0.005309 , 204.128458
204.135417 ,   8.673310 , 7 , 10 ,   0.004749 , 204.135403
204.142361 ,   8.656160 , 7 , 10 ,   0.002314 , 204.142347
204.149306 ,   8.652740 , 7 , 10 ,   0.000873 , 204.149292
204.156250 ,   8.652480 , 7 , 10 ,   0.006472 , 204.156236
204.163194 ,   8.680260 , 7 , 10 ,   0.014612 , 204.163181
204.170139 ,   8.671510 , 7 , 10 ,   0.011612 , 204.170125
204.177083 ,   8.684910 , 7 , 10 ,   0.012624 , 204.177070
204.184028 ,   8.707570 , 7 , 10 ,   0.008138 , 204.184014
204.190972 ,   8.681840 , 7 , 10 ,   0.007984 , 204.190958
204.197917 ,   8.681340 , 7 , 10 ,   0.007689 , 204.197903
204.204861 ,   8.695460 , 7 , 10 ,   0.019997 , 204.204847
204.211806 ,   8.690550 , 7 , 10 ,   0.005399 , 204.211792
204.218750 ,   8.686450 , 7 , 10 ,   0.006945 , 204.218736
204.225694 ,   8.688800 , 7 , 10 ,   0.002534 , 204.225681
204.232639 ,   8.693580 , 7 , 10 ,   0.002508 , 204.232625
204.239583 ,   8.710610 , 7 , 10 ,   0.008292 , 204.239570
204.246528 ,   8.709160 , 7 , 10 ,   0.015279 , 204.246514
204.253472 ,   8.705030 , 7 , 10 ,   0.007209 , 204.253458
204.260417 ,   8.690690 , 7 , 10 ,   0.006093 , 204.260403
204.267361 ,   8.688730 , 7 , 10 ,   0.006955 , 204.267347
204.274306 ,   8.678740 , 7 , 10 ,   0.004916 , 204.274292
204.281250 ,   8.682650 , 7 , 10 ,   0.003529 , 204.281236
204.288194 ,   8.679110 , 7 , 10 ,   0.005685 , 204.288181
204.295139 ,   8.671670 , 7 , 10 ,   0.002162 , 204.295125
204.302083 ,   8.669150 , 7 , 10 ,   0.001559 , 204.302070
204.309028 ,   8.668020 , 7 , 10 ,   0.001063 , 204.309014
204.315972 ,   8.673870 , 7 , 10 ,   0.006869 , 204.315958
204.322917 ,   8.678460 , 7 , 10 ,   0.002294 , 204.322903
204.329861 ,   8.680830 , 7 , 10 ,   0.001122 , 204.329847
204.336806 ,   8.691260 , 7 , 10 ,   0.004035 , 204.336792
204.343750 ,   8.691380 , 7 , 10 ,   0.000658 , 204.343736
204.350694 ,   8.687200 , 7 , 10 ,   0.003845 , 204.350681
204.357639 ,   8.680000 , 7 , 10 ,   0.005473 , 204.357625
204.364583 ,   8.679660 , 7 , 10 ,   0.002222 , 204.364570
204.371528 ,   8.684680 , 7 , 10 ,   0.003075 , 204.371514
204.378472 ,   8.683250 , 7 , 10 ,   0.002781 , 204.378458
204.385417 ,   8.689030 , 7 , 10 ,   0.002122 , 204.385403
204.392361 ,   8.687120 , 7 , 10 ,   0.001665 , 204.392347
204.399306 ,   8.683110 , 7 , 10 ,   0.001342 , 204.399292
204.406250 ,   8.679910 , 7 , 10 ,   0.000845 , 204.406236
204.413194 ,   8.685600 , 7 , 10 ,   0.007126 , 204.413181
204.420139 ,   8.693020 , 7 , 10 ,   0.004924 , 204.420125
204.427083 ,   8.712140 , 7 , 10 ,   0.005502 , 204.427070
204.434028 ,   8.712060 , 7 , 10 ,   0.002436 , 204.434014
204.440972 ,   8.711230 , 7 , 10 ,   0.002597 , 204.440958
204.447917 ,   8.708790 , 7 , 10 ,   0.000425 , 204.447903
204.454861 ,   8.708230 , 7 , 10 ,   0.000419 , 204.454847
204.461806 ,   8.709970 , 7 , 10 ,   0.000967 , 204.461792
204.468750 ,   8.708380 , 7 , 10 ,   0.001490 , 204.468736
204.475694 ,   8.705730 , 7 , 10 ,   0.004255 , 204.475681
204.482639 ,   8.698040 , 7 , 10 ,   0.002597 , 204.482625
204.489583 ,   8.694670 , 7 , 10 ,   0.001625 , 204.489570
204.496528 ,   8.694630 , 7 , 10 ,   0.002648 , 204.496514
204.503472 ,   8.697530 , 7 , 10 ,   0.001801 , 204.503458
204.510417 ,   8.699110 , 7 , 10 ,   0.002050 , 204.510403
204.517361 ,   8.700440 , 7 , 10 ,   0.001687 , 204.517347
204.524306 ,   8.703410 , 7 , 10 ,   0.001691 , 204.524292
204.531250 ,   8.707410 , 7 , 10 ,   0.002717 , 204.531236
204.538194 ,   8.700000 , 7 , 10 ,   0.005426 , 204.538181
204.545139 ,   8.704650 , 7 , 10 ,   0.004490 , 204.545125
204.552083 ,   8.703070 , 7 , 10 ,   0.004476 , 204.552070
204.559028 ,   8.701720 , 7 , 10 ,   0.001105 , 204.559014
204.565972 ,   8.703850 , 7 , 10 ,   0.000854 , 204.565958
204.572917 ,   8.701470 , 7 , 10 ,   0.000751 , 204.572903
204.579861 ,   8.708190 , 7 , 10 ,   0.006028 , 204.579847
204.586806 ,   8.711920 , 7 , 10 ,   0.001500 , 204.586792
204.593750 ,   8.714830 , 7 , 10 ,   0.000501 , 204.593736
204.600694 ,   8.716020 , 7 , 10 ,   0.000563 , 204.600681
204.607639 ,   8.716720 , 7 , 10 ,   0.000715 , 204.607625
204.614583 ,   8.717200 , 7 , 10 ,   0.001233 , 204.614570
204.621528 ,   8.715720 , 7 , 10 ,   0.001023 , 204.621514
204.628472 ,   8.711500 , 7 , 10 ,   0.002537 , 204.628458
204.635417 ,   8.700950 , 7 , 10 ,   0.001514 , 204.635403
204.642361 ,   8.700280 , 7 , 10 ,   0.002616 , 204.642347
204.649306 ,   8.698380 , 7 , 10 ,   0.001154 , 204.649292
204.656250 ,   8.699890 , 7 , 10 ,   0.000567 , 204.656236
204.663194 ,   8.700420 , 7 , 10 ,   0.000930 , 204.663181
204.670139 ,   8.700700 , 7 , 10 ,   0.001257 , 204.670125
204.677083 ,   8.702670 , 7 , 10 ,   0.000447 , 204.677070
204.684028 ,   8.703360 , 7 , 10 ,   0.001285 , 204.684014
204.690972 ,   8.712490 , 7 , 10 ,   0.005595 , 204.690958
204.697917 ,   8.714430 , 7 , 10 ,   0.001284 , 204.697903
204.704861 ,   8.712800 , 7 , 10 ,   0.001476 , 204.704847
204.711806 ,   8.705320 , 7 , 10 ,   0.002133 , 204.711792
204.718750 ,   8.706970 , 7 , 10 ,   0.003837 , 204.718736
204.725694 ,   8.701190 , 7 , 10 ,   0.001491 , 204.725681
204.732639 ,   8.700380 , 7 , 10 ,   0.000742 , 204.732625
204.739583 ,   8.702010 , 7 , 10 ,   0.002908 , 204.739570
204.746528 ,   8.707580 , 7 , 10 ,   0.000704 , 204.746514
204.753472 ,   8.705980 , 7 , 10 ,   0.000872 , 204.753458
204.760417 ,   8.703310 , 7 , 10 ,   0.001248 , 204.760403
204.767361 ,   8.698470 , 7 , 10 ,   0.004655 , 204.767347
204.774306 ,   8.693580 , 7 , 10 ,   0.006993 , 204.774292
204.781250 ,   8.689860 , 7 , 10 ,   0.006077 , 204.781236
204.788194 ,   8.684080 , 7 , 10 ,   0.007149 , 204.788181
204.795139 ,   8.671190 , 7 , 10 ,   0.010058 , 204.795125
204.802083 ,   8.651840 , 7 , 10 ,   0.007325 , 204.802070
204.809028 ,   8.657650 , 7 , 10 ,   0.007967 , 204.809014
204.815972 ,   8.670130 , 7 , 10 ,   0.003862 , 204.815958
204.822917 ,   8.675820 , 7 , 10 ,   0.001138 , 204.822903
204.829861 ,   8.676920 , 7 , 10 ,   0.000699 , 204.829847
204.836806 ,   8.679190 , 7 , 10 ,   0.001624 , 204.836792
204.843750 ,   8.690060 , 7 , 10 ,   0.005076 , 204.843736
204.850694 ,   8.701150 , 7 , 10 ,   0.002456 , 204.850681
204.857639 ,   8.728670 , 7 , 10 ,   0.008358 , 204.857625
204.864583 ,   8.737590 , 7 , 10 ,   0.000597 , 204.864570
204.871528 ,   8.741050 , 7 , 10 ,   0.001414 , 204.871514
204.878472 ,   8.737380 , 7 , 10 ,   0.003384 , 204.878458
204.885417 ,   8.738040 , 7 , 10 ,   0.003186 , 204.885403
204.892361 ,   8.740370 , 7 , 10 ,   0.001486 , 204.892347
204.899306 ,   8.738960 , 7 , 10 ,   0.001120 , 204.899292
204.906250 ,   8.738650 , 7 , 10 ,   0.000652 , 204.906236
204.913194 ,   8.737060 , 7 , 10 ,   0.000610 , 204.913181
204.920139 ,   8.735150 , 7 , 10 ,   0.000698 , 204.920125
204.927083 ,   8.733730 , 7 , 10 ,   0.000531 , 204.927070
204.934028 ,   8.733570 , 7 , 10 ,   0.000450 , 204.934014
204.940972 ,   8.726810 , 7 , 10 ,   0.002342 , 204.940958
204.947917 ,   8.727110 , 7 , 10 ,   0.000917 , 204.947903
204.954861 ,   8.732330 , 7 , 10 ,   0.002813 , 204.954847
204.961806 ,   8.733260 , 7 , 10 ,   0.000936 , 204.961792
204.968750 ,   8.727890 , 7 , 10 ,   0.003764 , 204.968736
204.975694 ,   8.716520 , 7 , 10 ,   0.003357 , 204.975681
204.982639 ,   8.715390 , 7 , 10 ,   0.001713 , 204.982625
204.989583 ,   8.720490 , 7 , 10 ,   0.001485 , 204.989570
204.996528 ,   8.720430 , 7 , 10 ,   0.000854 , 204.996514
205.003472 ,   8.717720 , 7 , 10 ,   0.001688 , 205.003458
205.010417 ,   8.717320 , 7 , 10 ,   0.001905 , 205.010403
205.017361 ,   8.720010 , 7 , 10 ,   0.004403 , 205.017347
205.024306 ,   8.720150 , 7 , 10 ,   0.002435 , 205.024292
205.031250 ,   8.712330 , 7 , 10 ,   0.004738 , 205.031236
205.038194 ,   8.719690 , 7 , 10 ,   0.002343 , 205.038181
205.045139 ,   8.721100 , 7 , 10 ,   0.002286 , 205.045125
205.052083 ,   8.720610 , 7 , 10 ,   0.001153 , 205.052070
205.059028 ,   8.719220 , 7 , 10 ,   0.000954 , 205.059014
205.065972 ,   8.718560 , 7 , 10 ,   0.000453 , 205.065958
205.072917 ,   8.719360 , 7 , 10 ,   0.000688 , 205.072903
205.079861 ,   8.716190 , 7 , 10 ,   0.004041 , 205.079847
205.086806 ,   8.703630 , 7 , 10 ,   0.009731 , 205.086792
205.093750 ,   8.696210 , 7 , 10 ,   0.003555 , 205.093736
205.100694 ,   8.697890 , 7 , 10 ,   0.001421 , 205.100681
205.107639 ,   8.696710 , 7 , 10 ,   0.000504 , 205.107625
205.114583 ,   8.707310 , 7 , 10 ,   0.006742 , 205.114570
205.121528 ,   8.719840 , 7 , 10 ,   0.003281 , 205.121514
205.128472 ,   8.715950 , 7 , 10 ,   0.002027 , 205.128458
205.135417 ,   8.707780 , 7 , 10 ,   0.001359 , 205.135403
205.142361 ,   8.706900 , 7 , 10 ,   0.001033 , 205.142347
205.149306 ,   8.707090 , 7 , 10 ,   0.001246 , 205.149292
205.156250 ,   8.710120 , 7 , 10 ,   0.001483 , 205.156236
205.163194 ,   8.711420 , 7 , 10 ,   0.000614 , 205.163181
205.170139 ,   8.709850 , 7 , 10 ,   0.001800 , 205.170125
205.177083 ,   8.711810 , 7 , 10 ,   0.000666 , 205.177070
205.184028 ,   8.708960 , 7 , 10 ,   0.002509 , 205.184014
205.190972 ,   8.706750 , 7 , 10 ,   0.000825 , 205.190958
205.197917 ,   8.706080 , 7 , 10 ,   0.000885 , 205.197903
205.204861 ,   8.708190 , 7 , 10 ,   0.002188 , 205.204847
205.211806 ,   8.708680 , 7 , 10 ,   0.003800 , 205.211792
205.218750 ,   8.704930 , 7 , 10 ,   0.001218 , 205.218736
205.225694 ,   8.705020 , 7 , 10 ,   0.000877 , 205.225681
205.232639 ,   8.704230 , 7 , 10 ,   0.000572 , 205.232625
205.239583 ,   8.704160 , 7 , 10 ,   0.001838 , 205.239570
205.246528 ,   8.697610 , 7 , 10 ,   0.001701 , 205.246514
205.253472 ,   8.691370 , 7 , 10 ,   0.004762 , 205.253458
205.260417 ,   8.699530 , 7 , 10 ,   0.001378 , 205.260403
205.267361 ,   8.698290 , 7 , 10 ,   0.000795 , 205.267347
205.274306 ,   8.702370 , 7 , 10 ,   0.002709 , 205.274292
205.281250 ,   8.705740 , 7 , 10 ,   0.001212 , 205.281236
205.288194 ,   8.709030 , 7 , 10 ,   0.001095 , 205.288181
205.295139 ,   8.712030 , 7 , 10 ,   0.002116 , 205.295125
205.302083 ,   8.715010 , 7 , 10 ,   0.003087 , 205.302070
205.309028 ,   8.706860 , 7 , 10 ,   0.004869 , 205.309014
205.315972 ,   8.700380 , 7 , 10 ,   0.002702 , 205.315958
205.322917 ,   8.699360 , 7 , 10 ,   0.002618 , 205.322903
205.329861 ,   8.702230 , 7 , 10 ,   0.003714 , 205.329847
205.336806 ,   8.703960 , 7 , 10 ,   0.000427 , 205.336792
205.343750 ,   8.702080 , 7 , 10 ,   0.000587 , 205.343736
205.350694 ,   8.699910 , 7 , 10 ,   0.003237 , 205.350681
205.357639 ,   8.694740 , 7 , 10 ,   0.001208 , 205.357625
205.364583 ,   8.696840 , 7 , 10 ,   0.001646 , 205.364570
205.371528 ,   8.696380 , 7 , 10 ,   0.002318 , 205.371514
205.378472 ,   8.699680 , 7 , 10 ,   0.001273 , 205.378458
205.385417 ,   8.703050 , 7 , 10 ,   0.000891 , 205.385403
205.392361 ,   8.700600 , 7 , 10 ,   0.001018 , 205.392347
205.399306 ,   8.702710 , 7 , 10 ,   0.001524 , 205.399292
205.406250 ,   8.713880 , 7 , 10 ,   0.004740 , 205.406236
205.413194 ,   8.721090 , 7 , 10 ,   0.001824 , 205.413181
205.420139 ,   8.718160 , 7 , 10 ,   0.003178 , 205.420125
205.427083 ,   8.711120 , 7 , 10 ,   0.003151 , 205.427070
205.434028 ,   8.704860 , 7 , 10 ,   0.001308 , 205.434014
205.440972 ,   8.707920 , 7 , 10 ,   0.001321 , 205.440958
205.447917 ,   8.709720 , 7 , 10 ,   0.000567 , 205.447903
205.454861 ,   8.709900 , 7 , 10 ,   0.000704 , 205.454847
205.461806 ,   8.710230 , 7 , 10 ,   0.001661 , 205.461792
205.468750 ,   8.709740 , 7 , 10 ,   0.001019 , 205.468736
205.475694 ,   8.709850 , 7 , 10 ,   0.002935 , 205.475681
